Date,Artist,Album,New to me?,Comments,Playlist,Listen Again
2021-01-01,Beauty Pill,Describes Things As They Are,FALSE,,TRUE,
2021-01-02,Thundercat,It Is What Is Is,TRUE,,TRUE,
2021-01-03,"Boris, Merzbow",2R0I2P0,TRUE,,TRUE,
2021-01-04,Bob Mould,Workbook,TRUE,,TRUE,
2021-01-05,Madvillan,Madvillany,TRUE,,TRUE,
2021-01-06,Captain Beefheart,Trout Mask Replica,FALSE,,FALSE,
2021-01-07,Jeff Parker,Suite For Max Brown,TRUE,,TRUE,
2021-01-08,David Bowie,Blackstar,FALSE,,TRUE,
2021-01-09,C. Diab,White Whale,TRUE,,TRUE,
2021-01-10,Fiona Apple,Fetch The Bolt Cutters,TRUE,,TRUE,
2021-01-11,Phoebe Bridgers,Punisher,TRUE,,TRUE,
2021-01-12,Aesop Rock,Spirit World Field Guide,TRUE,,TRUE,TRUE
2021-01-13,Gen Pop,PPM66,TRUE,,TRUE,
2021-01-14,Leatherface,Mush,TRUE,,TRUE,
2021-01-15,David Bowie,Low,FALSE,,TRUE,
2021-01-16,The Avalanches,We Will Always Love You,TRUE,,TRUE,
2021-01-17,mssv,Main Steam Stop Valve,TRUE,,TRUE,
2021-01-18,Clarissa Connelly,The Voyager,TRUE,,TRUE,
2021-01-19,Sleaford Mods,Spare Rib,TRUE,,TRUE,
2021-01-20,Budokan Boys,So Broken Up About You Dying,TRUE,,TRUE,
2021-01-21,Rhodri Davies,Telyn Rawn,TRUE,,TRUE,
2021-01-22,"Moor Mother, billy woods",Brass,TRUE,,TRUE,
2021-01-23,Insides,Soft Bonds,TRUE,,TRUE,
2021-01-24,"Kacy & Clayton, Marlon Williams",Plastic Bouquet,TRUE,,TRUE,
2021-01-25,Talk Talk,Spirit of Eden,FALSE,Tim's Twitter listening party ,TRUE,
2021-01-26,Bark Psychosis,Hex,FALSE,,TRUE,
2021-01-27,Seefeel,Quique,FALSE,,TRUE,
2021-01-28,Slint,Spiderland,FALSE,,TRUE,
2021-01-29,Tortoise,Millions Now Living Will Never Die,FALSE,,TRUE,
2021-01-30,Sigur Rós,Ágætis byrjun,FALSE,,TRUE,
2021-01-31,Shellac,Excellent Italian Greyhound,FALSE,,TRUE,
2021-02-01,Sophie,Oil Of Every Pearl's Un-insides,TRUE,,TRUE,
2021-02-02,38Kea,Mental Weapon,TRUE,,TRUE,
2021-02-03,"Aquiles Navarro, Tcheser Holmes",Heritage of the Invisible II,TRUE,,TRUE,
2021-02-04,Joel Ross,Who Are You?,TRUE,,TRUE,
2021-02-05,Josh Johnson,Freedom Exercise,TRUE,,TRUE,
2021-02-06,Sault,Untitled (Rise),TRUE,Mercury Prize,TRUE,
2021-02-07,Claire Welles,Dazed,TRUE,,TRUE,
2021-02-08,Erik Truffaz,The Mask,TRUE,,TRUE,
2021-02-09,Mats Eden,Milvus,FALSE,,TRUE,
2021-02-10,Mica Levi,Blue Alibi,TRUE,,TRUE,
2021-02-11,I Know I'm An Alien,Wi-Fi Breath,TRUE,,TRUE,
2021-02-12,CB3,Aeons Live Session,TRUE,,TRUE,
2021-02-13,Byron Westbrook,Distortion Hue,TRUE,,TRUE,
2021-02-14,TRAKA,Start Taking Note,TRUE,,TRUE,
2021-02-15,Black Country New Road,For the first time,TRUE,Mercury Prize,TRUE,
2021-02-16,Divide and Dissolve,Gas Lit,TRUE,,TRUE,TRUE
2021-02-17,Billy Nomates,Billy Nomates,TRUE,,TRUE,TRUE
2021-02-18,Nadine Shah,Kitchen Sink,TRUE,,TRUE,
2021-02-19,Thurston Moore,Screen Time,TRUE,,FALSE,
2021-02-20,Oneohtrix Point Never,Magic Oneohtrix Point Never,TRUE,,TRUE,
2021-02-21,Smart Went Crazy,Con Art,TRUE,,TRUE,
2021-02-22,Ryan Dugré,Three Rivers,TRUE,,TRUE,
2021-02-23,Mary Timony,Mountains,TRUE,,TRUE,
2021-02-24,LoneLady,Nerve Up,TRUE,,TRUE,
2021-02-25,Anna B Savage,A Common Turn,TRUE,,TRUE,TRUE
2021-02-26,Smith & Burrows,Only Smith & Burrows Is Good Enough,TRUE,,TRUE,
2021-02-27,Mogwai,As The Love Continues,TRUE,Mercury Prize,TRUE,TRUE
2021-02-28,Nick Cave,Carnage,TRUE,,TRUE,
2021-03-01,Dogleg,Melee,TRUE,,TRUE,
2021-03-02,Architects,For Those That Wish To Exist,TRUE,,TRUE,
2021-03-03,Alexander Hawkins,Togetherness Music (For Sixteen Musicians),TRUE,,TRUE,
2021-03-04,Humanist,Humanist,TRUE,,TRUE,
2021-03-05,Shame,Drunk Tank Pink,TRUE,,TRUE,
2021-03-06,Billy Nomates,Emergency Telephone,TRUE,,TRUE,
2021-03-07,Maximo Park,Nature Always Wins,TRUE,,TRUE,
2021-03-08,AZITA,Glen Echo,TRUE,,TRUE,
2021-03-09,Viagra Boys,Welfare Jazz,TRUE,,TRUE,
2021-03-10,"Ryley Walker, Kikagaku Moyo",Deep Fried Grandeur,TRUE,,TRUE,
2021-03-11,Jane Weaver,Flock,TRUE,,TRUE,
2021-03-12,Arab Strap,As Days Get Dark,TRUE,,TRUE,
2021-03-13,The Wedding Present,Ukrainian John Peel Sessions,FALSE,,TRUE,
2021-03-14,The Staves,Good Woman,TRUE,,TRUE,
2021-03-15,bdrmm,Bedroom,TRUE,,TRUE,
2021-03-16,Pearl Charles,Magic Mirror,TRUE,,TRUE,
2021-03-17,Cool Jerks,England,TRUE,,TRUE,
2021-03-18,The Anchoress,The Art Of Losing,TRUE,,TRUE,TRUE
2021-03-19,Pillow Queens,In Waiting,TRUE,,TRUE,
2021-03-20,Mariachi El Bronx,Mariachi El Bronx (I),TRUE,,TRUE,
2021-03-21,Snapped Ankles,21 Metres To Hebden Bridge (Live),TRUE,,TRUE,
2021-03-22,Meemo Comma,Neon Genesis: Soul Into Matter^2,TRUE,,TRUE,
2021-03-23,New Bums,Last Time I Saw Grace,TRUE,,TRUE,
2021-03-24,Dialect,Under~Between,TRUE,,TRUE,
2021-03-25,Dolorosa,Hordhen,TRUE,,TRUE,
2021-03-26,Hannah Peel,Fir Wave,TRUE,Mercury Prize,TRUE,
2021-03-27,John Smith,The Fray,TRUE,,TRUE,
2021-03-28,Death From Above 1979,Is 4 Lovers,TRUE,,TRUE,
2021-03-29,"Floating Points, Pharoah Saunders",Promises,TRUE,Mercury Prize,TRUE,
2021-03-30,Bicep,Isles,TRUE,,TRUE,
2021-03-31,My Bloody Valentine,Loveless,FALSE,,TRUE,
2021-04-01,Esther Rose,How Many Times,TRUE,,TRUE,
2021-04-02,Dry Cleaning,New Long Leg,TRUE,,TRUE,
2021-04-03,Warm Digits,Flight of Ideas,TRUE,,TRUE,
2021-04-04,AK/DK,Shared Particles,TRUE,,TRUE,
2021-04-05,Sugar,Beaster,FALSE,,TRUE,
2021-04-06,Du Blonde,Homecoming,TRUE,,TRUE,
2021-04-07,Black Twig Pickers,Friend's Peace,TRUE,,TRUE,
2021-04-08,Cathal Coughlan,Song of Co-Alkan,TRUE,,TRUE,
2021-04-09,TV Priest,Uppers,TRUE,,TRUE,
2021-04-10,Elegaic,Elegaic,TRUE,,TRUE,
2021-04-11,Pom Poko,Cheater,TRUE,,TRUE,
2021-04-12,Th1rt3en,A Magnificent Day For An Exorcism,TRUE,,TRUE,
2021-04-13,Autumns,Dyslexia Sound System,TRUE,,TRUE,
2021-04-14,Spelljammer,Abyssal Trip,TRUE,,TRUE,
2021-04-15,Kalbells,Max Heart,TRUE,,TRUE,
2021-04-16,Goat Girl,On All Fours,TRUE,,TRUE,
2021-04-17,Osees,Live At Big Sur,TRUE,,TRUE,
2021-04-18,Hospital Bracelet,South Loop Summer,TRUE,,TRUE,
2021-04-19,Sourdure,De Mòrt Viva,TRUE,,TRUE,
2021-04-20,Black Honey,Written & Directed,TRUE,,TRUE,
2021-04-21,For Those I Love,For Those I Love,TRUE,,TRUE,TRUE
2021-04-22,Opeth,In Cauda Venenum,TRUE,,TRUE,
2021-04-23,Echo and The Bunnymen,Crocodiles,FALSE,,TRUE,
2021-04-24,Echo and The Bunnymen,Heaven Up Here,FALSE,,TRUE,
2021-04-25,Echo and The Bunnymen,Porcupine,FALSE,,TRUE,
2021-04-26,Echo and The Bunnymen,Ocean Rain,FALSE,,TRUE,
2021-04-27,Echo and The Bunnymen,Echo and The Bunnymen,FALSE,,TRUE,
2021-04-28,Field Music,Flat White Moon,TRUE,,TRUE,
2021-04-29,Grandbrothers,All The Unknown,TRUE,,TRUE,
2021-04-30,Genesis Owusu,Smiling With No Teeth,TRUE,,TRUE,
2021-05-01,Wasuremono,"Let's Talk, Pt. 1",TRUE,,TRUE,
2021-05-02,The Boys With The Perpetual Nervousness,Songs From Another Life,TRUE,,TRUE,
2021-05-03,Virgin Vacation,Virgin Vacation,TRUE,,TRUE,
2021-05-04,Arthur King,Changing Lamdscapes (Isle of Eigg),TRUE,,TRUE,
2021-05-05,Dark Time Sunshine,Lore,TRUE,,TRUE,
2021-05-06,Marianne Faithful with Warren Ellis,She Walks In Beauty,TRUE,,TRUE,
2021-05-07,Allegra Krieger,The Joys Of Forgetting,TRUE,,TRUE,
2021-05-08,Art D'Ecco,In Standard Definition,TRUE,,TRUE,
2021-05-09,Gojira,Fortitude,TRUE,,TRUE,
2021-05-10,Teenage Fanclub,Endless Arcade,TRUE,,TRUE,
2021-05-11,TEKE::TEKE,Shirushi,TRUE,,TRUE,
2021-05-12,Daniel Bachman,Axacan,TRUE,,TRUE,
2021-05-13,Klô Pelgag,Notes-Dame-Des-Sept-Douleurs,TRUE,,TRUE,
2021-05-14,Protomartyr,Ultimate Success Today,TRUE,,TRUE,
2021-05-15,Iceage,Seek Shelter,TRUE,,TRUE,
2021-05-16,The Black Keys,Delta Kream,TRUE,,TRUE,
2021-05-17,The Coral,Coral Island,TRUE,,TRUE,
2021-05-18,Dopolarians,The Bond,TRUE,,TRUE,
2021-05-19,Motorpsycho,Kingdom Of Oblivion,TRUE,,TRUE,
2021-05-20,Tune Yards,Sketchy,TRUE,,TRUE,
2021-05-21,Gruff Rhys,Seeking New Gods,TRUE,,TRUE,
2021-05-22,Rudimentary Peni,Great War,TRUE,,TRUE,
2021-05-23,Conflict,The Ungovernable Force,FALSE,,TRUE,
2021-05-24,Martha and The Muffins,Metro Music,FALSE,,TRUE,
2021-05-25,Penfriend,Exotic Monsters,TRUE,,TRUE,TRUE
2021-05-26,Waste Man,One Day It'll All Be You,TRUE,,TRUE,
2021-05-27,Simona Zamboli,Ethernity,TRUE,,TRUE,
2021-05-28,Satanic Planet,Satanic Planet,TRUE,,TRUE,
2021-05-29,Mythic Sunship,Wildfire,TRUE,,TRUE,
2021-05-30,Lou Barlow,Reason To Live,TRUE,,TRUE,
2021-05-31,"Flanafi, Ape School",The Knees Start To Go,TRUE,,TRUE,
2021-06-01,She Makes War,And Peace,TRUE,,TRUE,
2021-06-02,Bobby Lee,Origin Myths,TRUE,,TRUE,
2021-06-03,Dean McPhee,Witch's Ladder,TRUE,,TRUE,
2021-06-04,Liz Phair,Soberish,TRUE,,TRUE,
2021-06-05,Matt Berry,The Blue Elephant,TRUE,,TRUE,
2021-06-06,St Vincent,Daddy's Home,TRUE,,TRUE,
2021-06-07,Jap Kasai,OWN °C,TRUE,,TRUE,
2021-06-08,Kasai Allstars,"Black Ants Always Fly Together, One Bangle Makes No Sound",TRUE,,TRUE,
2021-06-09,Hannah Bowers,Not One Thing,TRUE,,TRUE,
2021-06-10,Leo Chadburn,Slower / Talker,TRUE,,TRUE,
2021-06-11,Very Paranoia,VP,TRUE,,FALSE,
2021-06-12,Beck,Odelay,FALSE,,TRUE,
2021-06-13,Nancy,The Seven Foot Tall Post-Suicidal Feel Good Blues,TRUE,,TRUE,
